"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.043245833E-1,-1.403930511E0,1.514700165E0,6.877148895E0
8.143715833E-1,-1.172511749E0,1.909429321E0,6.602769470E0
8.244175833E-1,-8.391549683E-1,2.723586273E0,6.980434113E0
8.344645833E-1,-8.511300659E-1,3.723955994E0,6.794221344E0
8.445115833E-1,-9.681866455E-1,4.193978577E0,7.361840973E0
8.545575833E-1,-8.752299500E-1,4.034260712E0,9.152267761E0
8.646045833E-1,-8.604107666E-1,3.945944366E0,1.104762634E1
8.746505833E-1,-1.091380463E0,3.983665924E0,1.154564072E1
8.846975833E-1,-1.413061523E0,3.797602844E0,1.064002396E1
8.947435833E-1,-1.285676422E0,3.229234772E0,9.319020996E0
9.047905833E-1,-1.080752563E0,2.765948181E0,8.723409576E0
9.148375833E-1,-1.121767273E0,2.599644012E0,8.678502960E0
9.248835833E-1,-1.259630585E0,2.680625610E0,8.607400818E0
9.349305833E-1,-1.323397980E0,2.845432892E0,8.511600037E0
9.449765833E-1,-1.228495331E0,2.980152740E0,8.558901672E0
9.550235833E-1,-1.079704742E0,3.037932587E0,8.545279999E0
9.650705833E-1,-8.566685486E-1,3.052452393E0,8.519533539E0
9.751165833E-1,-4.296066284E-1,3.103346558E0,8.480315094E0
9.851635833E-1,1.719923401E-1,3.220253448E0,8.636440430E0
9.952095833E-1,8.210426331E-1,3.409459991E0,8.827742615E0
1.005256583E0,1.302291870E0,3.778592377E0,9.352850647E0
1.015302583E0,1.664239197E0,4.026177521E0,9.929451599E0
1.025349583E0,1.828747101E0,3.942651215E0,1.022314087E1
1.035396583E0,1.542841644E0,3.609593811E0,9.956844635E0
1.045442583E0,1.319057007E0,3.601510620E0,9.548793182E0
1.055489583E0,1.098116455E0,3.670517120E0,9.149573364E0
1.065535583E0,7.123686218E-1,3.719764709E0,8.725804596E0
1.075582583E0,3.158432007E-1,3.723357239E0,8.412955170E0
1.085628583E0,3.074606323E-1,3.636537781E0,8.606053619E0
1.095675583E0,4.908293152E-1,3.561244354E0,8.991651764E0
1.105722583E0,4.692741394E-1,3.528462524E0,9.029672699E0
1.115768583E0,3.685336304E-1,3.563190308E0,8.910520477E0
1.125815583E0,3.433859253E-1,3.615581360E0,8.869356079E0
1.135861583E0,3.677851868E-1,3.603007507E0,8.684640198E0
1.145908583E0,3.811074829E-1,3.575315094E0,8.597970428E0
1.155954583E0,4.781057739E-1,3.571572876E0,8.735534363E0
1.166001583E0,6.715036011E-1,3.681444397E0,8.961115265E0
1.176048583E0,8.686436462E-1,3.838018799E0,8.952433319E0
1.186094583E0,1.025667114E0,3.945195923E0,8.793014832E0
1.196141583E0,1.022673340E0,4.014202423E0,8.870703278E0
1.206187583E0,9.870474243E-1,4.001478882E0,8.877439270E0
1.216234583E0,9.084608459E-1,3.901935883E0,8.973689117E0
1.226281583E0,6.117778015E-1,3.755690002E0,9.025930481E0
1.236327583E0,5.462141418E-1,3.604354706E0,8.941955109E0
1.246374583E0,5.266049194E-1,3.577710114E0,9.012159119E0
1.256420583E0,5.376818848E-1,3.561843109E0,9.002878418E0
1.266467583E0,6.222560120E-1,3.591032410E0,9.083560638E0
1.276513583E0,7.725434875E-1,3.643573151E0,9.320966949E0
1.286560583E0,9.041198730E-1,3.709885254E0,9.473050690E0
1.296607583E0,8.927435303E-1,3.698209534E0,9.462871857E0
1.306653583E0,9.163943481E-1,3.794609070E0,9.402996368E0
1.316700583E0,8.023315430E-1,3.827390900E0,9.240883484E0
1.326746583E0,5.816903687E-1,3.752247162E0,8.965905304E0
1.336793583E0,4.716691589E-1,3.704346771E0,8.837771759E0
1.346839583E0,4.245172119E-1,3.670367432E0,8.870403900E0
1.356886583E0,3.966751099E-1,3.591780853E0,8.804840240E0
1.366933583E0,4.140390015E-1,3.556005249E0,8.720266113E0
1.376979583E0,4.685256958E-1,3.568579102E0,8.776848450E0
1.387026583E0,6.743476868E-1,3.604504395E0,9.067094879E0
1.397072583E0,9.494755554E-1,3.674858093E0,9.502090302E0
1.407119583E0,9.931846619E-1,3.673361206E0,9.708211670E0
1.417166583E0,8.247848511E-1,3.595223694E0,9.705666962E0
1.427212583E0,6.457571411E-1,3.441942444E0,9.450148315E0
1.437259583E0,4.580474854E-1,3.404520264E0,9.149872742E0
1.447305583E0,3.951782227E-1,3.489693146E0,8.933572540E0
1.457352583E0,4.824467468E-1,3.608246613E0,8.960516510E0
1.467398583E0,6.252497864E-1,3.724105682E0,9.097631378E0
1.477445583E0,7.047344971E-1,3.768413544E0,9.150471497E0
1.487492583E0,7.047344971E-1,3.724255371E0,9.110205231E0
1.497538583E0,6.403683472E-1,3.671115875E0,9.030870209E0
1.507585583E0,5.737568665E-1,3.659440155E0,8.933871918E0
1.517631583E0,6.242019653E-1,3.654051361E0,8.884774017E0
1.527678583E0,7.216493225E-1,3.643872528E0,8.855584717E0
1.537725583E0,8.158035278E-1,3.705095215E0,8.840316467E0
1.547771583E0,8.387059021E-1,3.778442688E0,8.895252228E0
1.557818583E0,8.385562134E-1,3.773502960E0,8.916058960E0
1.567864583E0,8.300239563E-1,3.769611053E0,8.971892853E0
1.577911583E0,8.734336853E-1,3.749702454E0,9.100625153E0
1.587957583E0,8.795709229E-1,3.714525604E0,9.128467255E0
1.598004583E0,8.981323242E-1,3.764970703E0,9.219028931E0
1.608051583E0,9.002279663E-1,3.744014282E0,9.177565155E0
1.618097583E0,9.159452820E-1,3.681893463E0,9.131610718E0
1.628144583E0,8.866062927E-1,3.682641907E0,9.095535736E0
1.638190583E0,8.523275757E-1,3.754941559E0,9.046587524E0
1.648237583E0,8.083190918E-1,3.760629730E0,8.916058960E0
1.658284583E0,7.089257812E-1,3.760180664E0,8.815468140E0
1.668330583E0,6.656657410E-1,3.717669067E0,8.763376465E0
1.678377583E0,6.430627441E-1,3.692671051E0,8.766669617E0
1.688423583E0,6.659651184E-1,3.659440155E0,8.758137360E0
1.698470583E0,7.027885437E-1,3.673810272E0,8.815168762E0
1.708516583E0,7.691006470E-1,3.709136810E0,8.879834290E0
1.718563583E0,8.240364075E-1,3.668870544E0,9.021439819E0
1.728610583E0,9.178912354E-1,3.679797821E0,9.297016754E0
1.738656583E0,1.074914703E0,3.755839691E0,9.540111237E0
1.748703583E0,1.073118439E0,3.727099457E0,9.492809601E0
1.758749583E0,9.207353210E-1,3.640130310E0,9.299860840E0
1.768796583E0,7.945477295E-1,3.559298401E0,9.097032623E0
1.778842583E0,7.436535645E-1,3.565435638E0,8.903634796E0
1.788889583E0,7.454498291E-1,3.650309143E0,8.857680359E0
1.798936583E0,7.599696350E-1,3.736080780E0,8.917705536E0
1.808982583E0,7.517367554E-1,3.716321869E0,8.907826080E0
