"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.370305830E2,6.499983642E1,2.546787742E1,4.234631008E0,1.241728419E0,1.867921161E2,3.664305477E0,4.137848261E0
2.380305791E2,6.499982580E1,2.546786773E1,4.077561142E0,1.159808993E0,1.933943656E2,3.719711597E0,3.943375145E0
2.390305748E2,6.499981125E1,2.546785995E1,3.493547501E0,1.354079970E0,1.950475614E2,3.855180063E0,4.553695769E0
2.400305696E2,6.499979635E1,2.546784739E1,3.554382048E0,1.529900866E0,1.959610449E2,3.950775997E0,4.547938663E0
2.410305650E2,6.499978452E1,2.546784625E1,3.785731346E0,1.273711979E0,1.873912922E2,3.993608778E0,4.988022117E0
2.420305616E2,6.499977037E1,2.546783903E1,4.048853708E0,1.330300337E0,1.867245457E2,4.113820087E0,5.095575317E0
2.430305574E2,6.499975790E1,2.546783494E1,3.950827926E0,1.305612139E0,1.860515505E2,4.262330930E0,5.520278575E0
2.440305526E2,6.499974320E1,2.546783237E1,3.945976794E0,1.486352245E0,1.842350446E2,4.381763089E0,5.000772110E0
2.450305488E2,6.499973055E1,2.546782695E1,4.187099695E0,1.325631438E0,1.841424164E2,4.505056993E0,5.348428926E0
2.460305448E2,6.499971365E1,2.546782324E1,4.285302499E0,1.563550173E0,1.834894527E2,4.567930480E0,4.964869983E0
2.470305414E2,6.499970281E1,2.546780338E1,4.363121816E0,1.301516821E0,1.971675557E2,4.730448650E0,5.769664364E0
2.480305371E2,6.499968767E1,2.546779610E1,4.071494996E0,1.433602466E0,1.938405037E2,4.994169901E0,6.069201542E0
2.490305337E2,6.499967698E1,2.546778509E1,4.632463825E0,1.231584550E0,1.924888025E2,5.175303336E0,6.126061775E0
2.500305297E2,6.499966449E1,2.546776993E1,4.952940287E0,1.257397915E0,1.944758575E2,5.292669384E0,5.522157749E0
2.510305254E2,6.499965253E1,2.546776086E1,5.194624055E0,1.238203897E0,1.914262295E2,5.452902380E0,5.631532749E0
2.520305235E2,6.499963556E1,2.546774545E1,5.162712330E0,1.540229562E0,1.967479969E2,5.599698275E0,5.352340196E0
2.530305198E2,6.499962342E1,2.546775102E1,5.216392424E0,1.234229579E0,1.842199547E2,5.632973233E0,5.913693307E0
2.540305152E2,6.499960941E1,2.546773579E1,5.242588157E0,1.321072726E0,1.922269941E2,5.681122470E0,5.429488353E0
2.550305116E2,6.499959566E1,2.546771569E1,4.671475464E0,1.329845401E0,2.005881978E2,5.682759064E0,5.250006188E0
2.560305089E2,6.499958001E1,2.546770131E1,4.138462424E0,1.391256469E0,2.010215647E2,5.650362383E0,5.593894208E0
2.570305058E2,6.499956568E1,2.546769455E1,4.382582998E0,1.374626846E0,1.967929326E2,5.525388775E0,5.243554489E0
2.580305021E2,6.499954894E1,2.546769538E1,4.482678195E0,1.449787863E0,1.889770672E2,5.415704832E0,5.049942183E0
2.590304985E2,6.499953295E1,2.546769720E1,4.971571990E0,1.309136390E0,1.893620635E2,5.300887022E0,5.496340287E0
2.600304948E2,6.499951760E1,2.546768789E1,4.895945300E0,1.643838839E0,1.903374320E2,5.225725296E0,5.130341174E0
2.610304923E2,6.499950849E1,2.546768322E1,4.835632859E0,1.285159458E0,1.900657315E2,5.186408091E0,5.726194236E0
2.620304887E2,6.499949043E1,2.546768160E1,4.699075445E0,1.553549724E0,1.885402568E2,5.176673457E0,5.283983349E0
2.630304852E2,6.499947865E1,2.546768353E1,5.022009156E0,1.275045701E0,1.838698002E2,5.106127327E0,5.869226174E0
2.640304822E2,6.499946282E1,2.546767151E1,5.191974431E0,1.361138091E0,1.907224066E2,5.002581647E0,5.245431505E0
2.650304793E2,6.499944440E1,2.546766593E1,4.937609877E0,1.411737253E0,1.900921690E2,4.893383820E0,4.993606222E0
2.660304757E2,6.499943112E1,2.546766557E1,4.355768275E0,1.276222419E0,1.873935337E2,4.834498158E0,5.203053260E0
2.670304720E2,6.499941559E1,2.546765842E1,3.886119064E0,1.401966992E0,1.890375714E2,4.773757918E0,4.838702174E0
2.680304691E2,6.499940185E1,2.546765285E1,3.169269166E0,1.390794275E0,1.886355599E2,4.700653261E0,4.839962666E0
2.690304666E2,6.499938757E1,2.546764779E1,3.274441314E0,1.402455463E0,1.879219841E2,4.648337597E0,4.841605529E0
2.700304635E2,6.499937475E1,2.546764979E1,2.939437058E0,1.345608079E0,1.840017938E2,4.588094442E0,4.887440883E0
2.710304593E2,6.499935838E1,2.546764525E1,3.106777976E0,1.505885742E0,1.862082083E2,4.509097485E0,4.892245225E0
2.720304567E2,6.499935038E1,2.546764258E1,2.965483810E0,1.214439274E0,1.882951814E2,4.573812399E0,5.660698080E0
2.730304531E2,6.499934098E1,2.546764343E1,2.904605753E0,9.986106472E-1,1.860902022E2,4.551471506E0,5.117780345E0
2.740304506E2,6.499932237E1,2.546764690E1,2.452918109E0,1.358848344E0,1.824344366E2,4.626758304E0,5.353263479E0
2.750304471E2,6.499930994E1,2.546764996E1,2.229104192E0,1.238075145E0,1.786691827E2,4.635465555E0,5.606700472E0
2.760304438E2,6.499929875E1,2.546765532E1,2.134447964E0,1.076101579E0,1.761136044E2,4.630128931E0,5.219076591E0
2.770304410E2,6.499929900E1,2.546765098E1,2.574706040E0,4.008045603E-1,1.856247141E2,4.674658078E0,5.243970855E0
2.780304385E2,6.499928997E1,2.546765332E1,3.049800883E0,4.161065821E-1,1.706348216E2,4.827968149E0,5.125082874E0
2.790304348E2,6.499927576E1,2.546766252E1,3.489387493E0,7.698416287E-1,1.607761089E2,4.893097538E0,5.123465723E0
2.800304316E2,6.499926206E1,2.546767563E1,3.011160176E0,1.036726641E0,1.547983783E2,4.936383798E0,5.059133547E0
2.810304296E2,6.499925494E1,2.546769807E1,3.124283705E0,1.054049239E0,1.352120132E2,5.010118328E0,5.242490225E0
2.820304254E2,6.499924722E1,2.546773299E1,3.786590318E0,1.394554450E0,1.182879771E2,5.032992076E0,5.275251664E0
2.830304230E2,6.499923959E1,2.546776431E1,4.047175334E0,1.536999170E0,1.120366026E2,5.147555163E0,5.332366163E0
2.840304202E2,6.499924107E1,2.546779092E1,4.341330220E0,1.307845452E0,9.697067650E1,5.220150235E0,5.437235837E0
2.850304161E2,6.499923490E1,2.546780321E1,4.421022353E0,9.130648740E-1,1.036167236E2,5.255094684E0,4.859110871E0
2.860304143E2,6.499923408E1,2.546781854E1,4.203385036E0,7.115944853E-1,9.814607464E1,5.293257154E0,4.906150149E0
2.870304110E2,6.499922809E1,2.546783785E1,5.043840671E0,7.326524896E-1,1.048672811E2,5.279742622E0,4.483430008E0
2.880304074E2,6.499921321E1,2.546784090E1,5.212843009E0,7.156292305E-1,1.313435571E2,5.337368438E0,4.535951087E0
2.890304050E2,6.499921026E1,2.546783379E1,5.360859136E0,2.008615024E-1,1.514413886E2,5.366635162E0,4.647502898E0
2.900304019E2,6.499921484E1,2.546783353E1,5.357650718E0,1.119372038E-1,1.514413891E2,5.328164500E0,4.429884504E0
2.910303985E2,6.499921815E1,2.546783335E1,5.333042641E0,0.000000000E0,1.514413894E2,5.510728225E0,4.805745521E0
2.920303956E2,6.499920609E1,2.546782669E1,5.454271775E0,1.553071773E-1,1.631596274E2,5.606109660E0,5.177758337E0
2.930303925E2,6.499920063E1,2.546783284E1,5.396833041E0,6.460671694E-1,1.634576798E2,5.576878442E0,5.420722327E0
2.940303895E2,6.499920053E1,2.546785218E1,5.513029819E0,5.536456301E-1,1.141960389E2,5.486221988E0,4.976872333E0
2.950303866E2,6.499919758E1,2.546786170E1,5.654438398E0,5.301617303E-1,1.182891347E2,5.730759529E0,4.474236531E0
2.960303839E2,6.499919606E1,2.546785611E1,5.203057231E0,1.183340962E-1,1.327041660E2,5.665187195E0,4.191074247E0
2.970314353E2,6.499918897E1,2.546787004E1,7.061049867E0,1.013579045E0,NaN,5.550541872E0,3.196556417E0
2.980314465E2,6.499917958E1,2.546788330E1,6.863974194E0,7.291579201E-1,1.290187829E2,5.517694237E0,3.000000000E0
2.990314432E2,6.499918088E1,2.546787090E1,6.735701354E0,0.000000000E0,1.453773001E2,5.348812785E0,3.000000000E0
3.000314348E2,6.499918088E1,2.546787090E1,6.735701354E0,0.000000000E0,1.453773001E2,5.318804722E0,3.000000000E0
