"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.402748597E1,6.499965000E1,2.546706402E1,9.345532606E1,1.033850551E0,2.942469082E2,7.491909851E0,3.555362463E0
7.502770948E1,6.499965064E1,2.546702643E1,9.274160932E1,1.033850551E0,2.822652252E2,7.260960211E0,3.676190853E0
7.602791750E1,6.499965373E1,2.546697738E1,9.221088091E1,1.262066364E0,2.820417371E2,7.664721295E0,3.821481943E0
7.702811337E1,6.499931832E1,2.546717302E1,1.893713714E1,1.243867575E0,2.734280824E2,2.681980075E0,3.078385621E0
7.802829731E1,6.499931882E1,2.546713155E1,1.975568644E1,1.237524392E0,2.827954729E2,2.859239905E0,3.228509189E0
7.902846920E1,6.499932451E1,2.546711116E1,1.961017551E1,1.190185655E0,2.940372104E2,3.104117655E0,3.406393727E0
8.002863038E1,6.499932485E1,2.546707850E1,1.927982853E1,1.256463529E0,2.923172682E2,3.388465886E0,3.776464495E0
8.102878320E1,6.499931141E1,2.546704734E1,1.732122942E1,1.331147091E0,2.914123240E2,3.576432025E0,3.788462762E0
8.202892578E1,6.499930866E1,2.546699761E1,1.692314863E1,1.481334018E0,2.878563576E2,3.631776483E0,3.690168350E0
8.302905798E1,6.499930641E1,2.546697094E1,1.574272072E1,1.399501781E0,2.817699543E2,3.706196920E0,3.366882876E0
8.402918231E1,6.499930739E1,2.546693737E1,1.482504955E1,1.275946569E0,2.789535180E2,3.852203410E0,3.452089350E0
8.502929962E1,6.499930706E1,2.546691230E1,1.441098205E1,1.343721188E0,2.846123608E2,3.893996220E0,3.187425236E0
8.602940977E1,6.499930977E1,2.546689313E1,1.382205469E1,1.268606319E0,2.823186536E2,3.870768920E0,3.251423124E0
8.702951241E1,6.499932585E1,2.546686910E1,1.328003242E1,1.478834212E0,2.921509196E2,3.877832892E0,3.168557909E0
8.802960813E1,6.499933008E1,2.546685245E1,1.296582862E1,1.294402406E0,2.850266971E2,3.923657957E0,3.036175183E0
8.902969873E1,6.499933657E1,2.546682164E1,1.256762283E1,1.425172713E0,2.829063358E2,3.937184066E0,3.000000000E0
9.002978420E1,6.499934405E1,2.546682836E1,1.224591750E1,6.816104985E-1,2.925700763E2,3.846710098E0,3.000000000E0
9.102986276E1,6.499935666E1,2.546681279E1,1.198893140E1,1.563413236E0,2.982331230E2,3.800316344E0,3.000000000E0
9.202993715E1,6.499935909E1,2.546678131E1,1.164063922E1,1.532135012E0,2.801641910E2,3.742485107E0,3.000000000E0
9.303000772E1,6.499936924E1,2.546676915E1,1.110379988E1,1.141202870E0,2.936978984E2,3.762796529E0,3.000000000E0
9.403007352E1,6.499936583E1,2.546676663E1,1.076120011E1,7.598886000E-1,3.357344808E2,3.733594222E0,4.424849757E0
9.503013396E1,6.499936960E1,2.546677951E1,1.025610159E1,3.576280002E-1,2.024908116E1,3.713358194E0,4.280966736E0
9.603019202E1,6.499936695E1,2.546677856E1,1.016835645E1,1.243782918E-1,3.227225803E1,3.782404223E0,3.953395068E0
9.703024614E1,6.499938553E1,2.546679205E1,1.015154137E1,1.205154961E0,2.350450296E1,3.777028156E0,3.938562738E0
9.803029668E1,6.499938837E1,2.546678536E1,9.696744551E0,6.937434557E-1,3.862931641E0,3.800022472E0,4.069840662E0
9.903034413E1,6.499939211E1,2.546678728E1,9.412135358E0,3.794304045E-1,7.081855287E0,3.825465891E0,4.330290626E0
1.000303884E2,6.499938769E1,2.546678198E1,9.594379247E0,7.922969300E-2,1.182703863E1,3.880246021E0,4.451806800E0
1.010304302E2,6.499937587E1,2.546677962E1,9.758149984E0,1.181780990E-1,1.182703834E1,3.901376203E0,4.162645012E0
1.020304697E2,6.499936244E1,2.546677844E1,9.870428398E0,1.108861574E-1,1.182704014E1,3.842970159E0,3.825682431E0
1.030305070E2,6.499935307E1,2.546682001E1,9.712267061E0,9.121901728E-1,1.084754100E2,3.801756298E0,3.826821640E0
1.040305405E2,6.499934756E1,2.546685486E1,8.834160251E0,1.305129535E0,1.128982756E2,3.754501454E0,3.846683492E0
1.050305731E2,6.499935446E1,2.546689521E1,8.760567764E0,1.509753161E0,9.234545900E1,3.736442116E0,3.711192982E0
1.060306032E2,6.499936609E1,2.546692234E1,8.763273154E0,1.531753354E0,6.922324332E1,3.676919680E0,4.091855041E0
1.070306315E2,6.499938289E1,2.546693565E1,8.934512870E0,1.520635280E0,4.060324980E1,3.648665252E0,4.419230598E0
1.080306580E2,6.499939812E1,2.546694354E1,9.354634793E0,1.528352409E0,2.749345567E1,3.653277027E0,4.337873623E0
1.090306827E2,6.499941283E1,2.546695374E1,9.873549510E0,1.519161402E0,2.392292543E1,3.606722368E0,4.319091740E0
1.100307068E2,6.499942897E1,2.546696452E1,1.002055337E1,1.513620634E0,2.352381214E1,3.586789738E0,4.365452379E0
1.110307283E2,6.499944201E1,2.546697868E1,9.972303451E0,1.514895580E0,2.242582432E1,3.600516617E0,4.432469876E0
1.120307490E2,6.499945516E1,2.546698618E1,9.773126763E0,1.508665886E0,1.984424356E1,3.656717678E0,4.403055626E0
1.130307683E2,6.499946934E1,2.546699316E1,9.887347938E0,1.556711389E0,1.688644302E1,3.618218671E0,3.884372406E0
1.140307862E2,6.499948469E1,2.546700016E1,9.890063999E0,1.586788090E0,1.501922155E1,3.584984411E0,3.790795028E0
1.150308042E2,6.499949745E1,2.546701008E1,9.810060762E0,1.530920633E0,1.622812864E1,3.558761016E0,4.234676218E0
1.160308194E2,6.499951052E1,2.546701559E1,9.845846203E0,1.515253486E0,1.221688487E1,3.523233375E0,4.362740899E0
1.170308344E2,6.499952272E1,2.546702342E1,9.581443126E0,1.506211247E0,1.256919583E1,3.455422509E0,4.251738252E0
1.180308486E2,6.499953534E1,2.546702928E1,9.545839467E0,1.498046497E0,1.316039957E1,3.417057833E0,4.222870769E0
1.190308615E2,6.499954606E1,2.546704701E1,9.504795602E0,1.505441442E0,2.151612916E1,3.462817943E0,4.331002568E0
1.200308741E2,6.499955827E1,2.546705322E1,9.707080073E0,1.499084353E0,1.811263464E1,3.493079488E0,4.397238237E0
1.210308856E2,6.499957225E1,2.546705688E1,1.000617910E1,1.470141382E0,1.304774464E1,3.481232930E0,4.434497740E0
1.220308959E2,6.499958503E1,2.546706228E1,1.022627841E1,1.469416563E0,9.953268452E0,3.482617177E0,4.386651378E0
1.230309063E2,6.499959880E1,2.546706847E1,1.035914372E1,1.517492729E0,1.015862669E1,3.549145922E0,4.674090610E0
1.240309163E2,6.499961194E1,2.546707863E1,1.012965929E1,1.528372018E0,1.324976118E1,3.504868248E0,4.761357826E0
1.250309258E2,6.499962467E1,2.546708630E1,9.839162345E0,1.518021157E0,1.310347224E1,3.481471881E0,4.886831566E0
1.260309335E2,6.499963696E1,2.546709538E1,9.877142214E0,1.508322584E0,1.423936344E1,3.457504254E0,4.659713258E0
1.270309417E2,6.499965003E1,2.546710191E1,9.864827531E0,1.489805956E0,1.266092269E1,3.439639725E0,4.516196198E0
1.280309489E2,6.499966150E1,2.546710710E1,9.593217392E0,1.347932846E0,9.772273417E0,3.517895663E0,4.484472263E0
